Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_trg,Phi_trg,Tau_trg_mean,Theta_x_trg_mean,D_ceil_trg_mean,My_mean,Vz_trg_mean,Vx_trg_mean,Mu,Sigma
2.5,37.5,0,0.83,2.461,34.336,0.224,6.482,0.312,-7.669,1.388,2.032,[1.627 4.556],[0.837 0.411]
2.5,41.25,0,0.89,2.46,38.514,0.223,5.532,0.345,-7.53,1.532,1.925,[2.506 4.822],[0.265 1.41 ]
2.5,45.0,0,0.89,2.471,42.54,0.226,4.722,0.381,-7.172,1.671,1.821,[1.945 5.313],[0.322 0.341]
2.5,48.75,0,0.94,2.459,46.203,0.226,4.159,0.404,-6.996,1.775,1.702,[1.627 6.042],[0.328 0.603]
2.5,52.5,0,0.89,2.443,49.948,0.229,3.593,0.431,-6.338,1.87,1.572,[1.906 7.111],[0.728 0.637]
2.5,56.25,0,0.61,2.431,54.106,0.232,3.059,0.46,-5.697,1.969,1.425,[1.804 5.514],[0.127 1.563]
2.5,60.0,0,0.5,2.431,58.062,0.234,2.612,0.485,-5.736,2.063,1.286,[2.021 5.626],[0.567 0.67 ]
2.5,63.75,0,0.39,2.409,62.265,0.235,2.221,0.501,-5.854,2.132,1.121,[1.822 6.407],[0.283 0.479]
2.5,67.5,0,0.28,2.426,66.203,0.235,1.847,0.523,-6.306,2.22,0.979,[1.356 7.76 ],[0.206 0.669]
2.5,71.25,0,0.0,,,,,,,,,[1.169 4.917],[0.278 0.29 ]
2.5,75.0,0,0.0,,,,,,,,,[1.1   4.688],[0.601 2.265]
2.5,78.75,0,0.0,,,,,,,,,[1.777 2.61 ],[0.683 1.003]
2.5,82.5,0,0.0,,,,,,,,,[2.576 5.675],[0.296 2.141]
2.5,86.25,0,0.0,,,,,,,,,[2.463 5.643],[0.658 0.733]
2.5,90.0,0,0.0,,,,,,,,,[2.411 2.142],[0.48 0.5 ]
2.6,30.0,0,0.72,2.601,26.959,0.224,8.613,0.268,-7.645,1.179,2.318,[2.51  5.946],[1.274 1.141]
2.6,33.75,0,0.83,2.576,31.086,0.226,7.23,0.303,-7.378,1.33,2.206,[2.034 3.4  ],[0.019 1.454]
2.6,37.5,0,0.78,2.564,34.545,0.225,6.347,0.33,-7.458,1.454,2.112,[2.149 7.764],[0.059 1.289]
2.6,41.25,0,0.94,2.567,38.531,0.224,5.504,0.362,-7.451,1.599,2.008,[1.988 7.341],[0.413 1.892]
2.6,45.0,0,0.83,2.55,42.33,0.225,4.823,0.388,-7.259,1.717,1.885,[1.926 6.029],[0.11  0.557]
2.6,48.75,0,0.72,2.546,46.368,0.227,4.135,0.421,-6.908,1.843,1.757,[1.985 3.589],[0.216 1.972]
2.6,52.5,0,0.61,2.534,50.429,0.231,3.537,0.452,-6.241,1.953,1.614,[2.514 2.197],[0.933 0.569]
2.6,56.25,0,0.78,2.565,54.761,0.238,2.899,0.502,-5.236,2.095,1.48,[2.176 4.425],[0.58  0.362]
2.6,60.0,0,0.56,2.528,58.29,0.238,2.547,0.514,-5.424,2.151,1.329,[2.934 7.044],[1.66  0.238]
2.6,63.75,0,0.67,2.55,62.279,0.242,2.094,0.55,-5.304,2.257,1.186,[2.214 7.032],[0.462 0.102]
2.6,67.5,0,0.33,2.519,66.141,0.239,1.811,0.552,-6.022,2.304,1.019,[1.646 3.983],[0.354 0.606]
2.6,71.25,0,0.22,2.538,70.165,0.239,1.464,0.573,-6.472,2.387,0.861,[2.268 8.191],[0.261 0.493]
2.6,75.0,0,0.0,2.513,73.945,0.234,1.197,0.565,-7.314,2.415,0.695,[1.416 7.048],[0.341 0.611]
2.6,78.75,0,0.11,2.518,78.056,0.233,0.89,0.576,-7.63,2.463,0.521,[1.834 4.48 ],[0.097 0.635]
2.6,82.5,0,0.0,2.526,82.037,0.234,0.584,0.585,-7.831,2.502,0.35,[1.866 2.534],[0.147 0.812]
2.6,86.25,0,0.0,,,,,,,,,[0.665 5.423],[0.644 1.943]
2.6,90.0,0,0.0,,,,,,,,,[1.359 6.991],[0.396 1.06 ]
2.7,30.0,0,0.78,2.687,26.737,0.225,8.72,0.274,-7.48,1.209,2.4,[1.631 6.553],[0.153 0.064]
2.7,33.75,0,0.83,2.68,30.89,0.226,7.283,0.314,-7.305,1.376,2.3,[1.53 3.07],[0.13  0.326]
2.7,37.5,0,0.94,2.678,35.15,0.225,6.221,0.35,-7.375,1.542,2.19,[2.035 1.33 ],[0.121 0.847]
2.7,41.25,0,0.89,2.656,38.565,0.225,5.469,0.377,-7.29,1.656,2.077,[2.276 8.54 ],[0.391 0.959]
2.7,45.0,0,0.89,2.659,42.729,0.227,4.687,0.413,-6.979,1.804,1.953,[2.023 4.071],[0.582 0.557]
2.7,48.75,0,0.78,2.667,46.914,0.232,3.943,0.456,-6.178,1.948,1.822,[1.565 3.953],[0.044 0.385]
2.7,52.5,0,0.94,2.649,50.56,0.235,3.424,0.484,-5.644,2.046,1.683,[1.068 7.159],[0.36  1.298]
2.7,56.25,0,0.56,2.647,54.581,0.239,2.912,0.518,-5.214,2.157,1.534,[2.293 4.804],[0.153 1.746]
2.7,60.0,0,0.72,2.653,58.658,0.243,2.438,0.555,-4.975,2.266,1.38,[1.924 1.963],[0.402 2.187]
2.7,63.75,0,0.94,2.667,62.628,0.245,2.044,0.584,-5.264,2.368,1.226,[1.656 5.556],[0.137 0.759]
2.7,67.5,0,0.39,2.619,66.106,0.244,1.762,0.587,-5.656,2.395,1.061,[1.443 7.113],[0.384 2.42 ]
2.7,71.25,0,0.33,2.63,70.084,0.245,1.43,0.607,-6.041,2.473,0.896,[2.102 4.358],[0.126 0.359]
2.7,75.0,0,0.22,2.62,74.049,0.241,1.159,0.607,-6.817,2.519,0.72,[2.956 7.439],[1.25  1.415]
2.7,78.75,0,0.22,2.594,77.962,0.236,0.887,0.599,-7.545,2.537,0.541,[1.832 7.491],[0.243 0.975]
2.7,82.5,0,0.06,2.61,81.982,0.236,0.583,0.609,-7.812,2.584,0.364,[1.603 5.477],[0.179 0.81 ]
2.7,86.25,0,0.06,2.607,85.886,0.235,0.293,0.611,-8.07,2.6,0.187,[1.263 7.161],[0.235 1.439]
2.7,90.0,0,0.0,,,,,,,,,[2.049 3.948],[0.496 1.614]
2.8,30.0,0,0.67,2.797,27.188,0.226,8.575,0.289,-7.383,1.278,2.488,[2.03  6.224],[0.229 1.486]
2.8,33.75,0,1.0,2.785,31.401,0.227,7.113,0.332,-7.148,1.451,2.377,[1.928 5.486],[0.089 2.037]
2.8,37.5,0,0.78,2.769,34.941,0.226,6.245,0.361,-7.288,1.586,2.27,[2.035 7.353],[0.12  0.232]
2.8,41.25,0,0.83,2.759,38.718,0.227,5.431,0.394,-7.099,1.726,2.153,[2.18  8.548],[0.537 0.462]
