Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_flip,Phi_flip,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,Vz_flip_mean,Vx_flip_mean,Mu,Sigma
1.7,90.0,1,0.39,1.672,90.034,0.231,0.001,0.386,-8.807,1.672,-0.001,[2.341 8.806],[0.032 0.01 ]
1.7,90.0,2,0.78,1.571,89.599,0.222,-0.006,0.521,-5.893,1.571,0.011,[2.423 5.892],[0.008 0.028]
1.8,30.0,0,0.39,1.785,25.488,0.217,-9.677,0.165,-6.501,0.768,1.611,[2.21  6.489],[0.001 0.045]
1.8,30.0,1,0.83,1.82,28.776,0.222,-7.966,0.2,-8.467,0.876,1.595,[2.267 8.48 ],[0.026 0.067]
1.8,30.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.952 4.324],[0.042 0.006]
1.8,33.75,0,0.72,1.814,32.481,0.218,-7.056,0.216,-8.733,0.974,1.53,[2.208 8.584],[0.01 0.86]
1.8,33.75,1,0.22,1.82,31.245,0.211,-7.612,0.203,-7.974,0.944,1.556,[2.118 7.975],[0.048 0.02 ]
1.8,33.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.951 7.683],[0.009 0.789]
1.8,37.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.902 5.312],[0.029 0.021]
1.8,37.5,1,0.33,1.812,35.883,0.207,-6.581,0.221,-7.67,1.062,1.468,[2.09 7.67],[0.    0.079]
1.8,37.5,2,0.83,1.806,36.128,0.22,-6.1,0.238,-8.836,1.065,1.459,[2.257 8.835],[0.023 0.045]
1.8,41.25,0,0.89,1.804,39.558,0.219,-5.422,0.254,-6.756,1.149,1.391,[2.225 6.684],[0.001 0.27 ]
1.8,41.25,1,0.94,1.806,39.497,0.223,-5.33,0.259,-8.229,1.149,1.394,[2.279 8.256],[0.043 0.4  ]
1.8,41.25,2,0.94,1.802,39.211,0.221,-5.428,0.254,-7.17,1.139,1.396,[2.25  7.176],[0.012 0.015]
1.8,45.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.908 8.247],[0.004 0.36 ]
1.8,45.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.972 4.482],[0.004 0.048]
1.8,45.0,2,0.83,1.809,43.522,0.213,-4.848,0.268,-8.449,1.246,1.312,[2.177 8.451],[0.032 0.07 ]
1.8,48.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.972 8.403],[0.035 0.048]
1.8,48.75,1,1.0,1.821,47.716,0.224,-3.932,0.305,-6.192,1.347,1.225,[2.275 6.204],[0.015 0.045]
1.8,48.75,2,0.33,1.802,46.866,0.21,-4.396,0.277,-4.432,1.315,1.232,[2.121 4.436],[0.017 0.077]
1.8,52.5,0,0.0,1.749,49.825,0.201,-4.188,0.269,-7.194,1.336,1.128,[2.059 7.24 ],[0.057 0.053]
1.8,52.5,1,0.0,1.776,50.438,0.197,-4.148,0.271,-8.999,1.369,1.131,[2.015 9.006],[0.014 0.044]
1.8,52.5,2,0.89,1.794,50.971,0.216,-3.668,0.303,-7.854,1.394,1.13,[2.196 7.909],[0.001 0.211]
1.8,56.25,0,0.39,1.744,54.214,0.22,-3.242,0.312,-3.942,1.415,1.02,[2.276 3.946],[0.038 0.019]
