vz_d,vx_d,trial_num,landing_rate,RREV_threshold,G1,RREV_sig,G1_sig,RREV_trigger,OF_y,My_d,impact_eul,impact_tdelta,alpha_mu,alpha_sigma,mu_ini,sigma_ini
3.25,1.5,8,0.6363636255264282,4.96,7.56,0.18,0.0,5.448875000000001,-2.355375,-7.556,-98.16875886357211,0.18416666666666692,[0. 0.],[0. 0.],[4.36 5.72],[1.5 1.5]
3.25,1.5,9,,4.2,6.41,0.01,0.05,4.571041666666667,-1.9941249999999997,-6.407041666666667,-3.559170142846486,0.2205000000000036,[0. 0.],[0. 0.],[4.51 4.77],[1.5 1.5]
3.25,1.75,8,,6.9,12.99,0.01,0.01,7.729916666666667,-3.922083333333333,-12.989791666666667,-2.1859716890544996,0.12433333333333962,[0. 0.],[0. 0.],[6.05 4.78],[1.5 1.5]
3.25,1.75,9,,8.3,11.89,0.05,0.02,9.960083333333333,-5.048416666666667,-11.890083333333335,-1.4544547620836756,0.0998333333333316,[0. 0.],[0. 0.],[4.32 2.27],[1.5 1.5]
3.5,0.0,7,0.3181818127632141,4.8,8.37,0.0,0.0,5.160125,0.00037500000000000006,-8.366083333333334,-93.16706030143382,0.19849999999999804,[0. 0.],[0. 0.],[3.88 6.98],[1.5 1.5]
3.5,0.0,8,,5.89,7.32,0.02,0.0,6.81025,-0.020666666666666667,-7.319375,-1.3594466459598662,0.1445833333333392,[0. 0.],[0. 0.],[5.06 2.78],[1.5 1.5]
3.5,0.25,7,,5.83,7.87,0.02,0.01,6.500916666666666,-0.46008333333333334,-7.8765833333333335,-0.730473681650532,0.14916666666666126,[0. 0.],[0. 0.],[4.92 5.13],[1.5 1.5]
3.5,0.5,9,,3.91,4.82,0.01,0.02,4.1924166666666665,-0.5809166666666666,-4.825833333333333,-2.9898113108852384,0.2603333333333347,[0. 0.],[0. 0.],[3.35 1.15],[1.5 1.5]
3.5,0.75,9,0.739130437374115,4.56,5.71,0.01,0.0,4.938833333333334,-0.9971249999999999,-5.705708333333334,-122.20034207248382,0.21941666666664192,[0. 0.],[0. 0.],[6.9  6.36],[1.5 1.5]
3.5,1.0,9,0.8333333134651184,4.57,5.51,0.0,0.01,4.956583333333334,-1.3482083333333332,-5.507416666666667,-27.02699852156176,0.2084999999999997,[0. 0.],[0. 0.],[2.48 5.48],[1.5 1.5]
3.5,1.25,8,,6.38,4.77,0.0,0.0,7.490875,-2.54025,-4.771333333333334,-1.4120593179939036,0.1370833333333318,[0. 0.],[0. 0.],[5.41 5.2 ],[1.5 1.5]
3.5,1.25,9,,6.18,3.54,0.0,0.0,6.9411249999999995,-2.3569583333333335,-3.5396666666666667,-0.5443013685592978,0.15174999999999392,[0. 0.],[0. 0.],[6.41 4.92],[1.5 1.5]
