# vel,phi,d_ceiling,My,trial_num,attempt
3.00,90.00,0.30,-6.75,1.00,0.00
3.00,90.00,0.30,-6.75,1.00,1.00
3.00,90.00,0.30,-6.75,1.00,2.00
3.00,90.00,0.30,-7.00,1.00,0.00
3.00,90.00,0.30,-7.00,1.00,1.00
3.00,90.00,0.30,-7.00,1.00,2.00
3.00,90.00,0.30,-7.25,1.00,0.00
3.00,90.00,0.30,-7.25,1.00,1.00
3.00,90.00,0.30,-7.25,1.00,2.00
3.00,90.00,0.30,-7.50,1.00,0.00
3.00,90.00,0.30,-7.50,1.00,1.00
3.00,90.00,0.30,-7.50,1.00,2.00
3.00,90.00,0.30,-7.75,1.00,0.00
3.00,90.00,0.30,-7.75,1.00,1.00
3.00,90.00,0.30,-7.75,1.00,2.00
3.00,90.00,0.30,-8.00,1.00,0.00
3.00,90.00,0.30,-8.00,1.00,1.00
3.00,90.00,0.30,-8.00,1.00,2.00
3.00,90.00,0.30,-8.25,1.00,0.00
3.00,90.00,0.30,-8.25,1.00,1.00
3.00,90.00,0.30,-8.25,1.00,2.00
3.00,90.00,0.30,-8.50,1.00,0.00
3.00,90.00,0.30,-8.50,1.00,1.00
3.00,90.00,0.30,-8.50,1.00,2.00
3.00,90.00,0.30,-8.75,1.00,0.00
3.00,90.00,0.30,-8.75,1.00,1.00
3.00,90.00,0.30,-8.75,1.00,2.00
3.00,90.00,0.30,-9.00,1.00,0.00
3.00,90.00,0.30,-9.00,1.00,1.00
3.00,90.00,0.30,-9.00,1.00,2.00
3.00,90.00,0.30,-9.25,1.00,0.00
3.00,90.00,0.30,-9.25,1.00,1.00
3.00,90.00,0.30,-9.25,1.00,2.00
3.00,90.00,0.30,-9.50,1.00,0.00
3.00,90.00,0.30,-9.50,1.00,1.00
3.00,90.00,0.30,-9.50,1.00,2.00
3.00,90.00,0.30,-9.75,1.00,0.00
3.00,90.00,0.30,-9.75,1.00,1.00
3.00,90.00,0.30,-9.75,1.00,2.00
3.00,90.00,0.25,-3.00,1.00,0.00
3.00,90.00,0.25,-3.00,1.00,1.00
3.00,90.00,0.25,-3.00,1.00,2.00
3.00,90.00,0.25,-3.25,1.00,0.00
3.00,90.00,0.25,-3.25,1.00,1.00
3.00,90.00,0.25,-3.25,1.00,2.00
3.00,90.00,0.25,-3.50,1.00,0.00
3.00,90.00,0.25,-3.50,1.00,1.00
3.00,90.00,0.25,-3.50,1.00,2.00
3.00,90.00,0.25,-3.75,1.00,0.00
3.00,90.00,0.25,-3.75,1.00,1.00
3.00,90.00,0.25,-3.75,1.00,2.00
3.00,90.00,0.25,-4.00,1.00,0.00
3.00,90.00,0.25,-4.00,1.00,1.00
3.00,90.00,0.25,-4.00,1.00,2.00
3.00,90.00,0.25,-4.25,1.00,0.00
3.00,90.00,0.25,-4.25,1.00,1.00
3.00,90.00,0.25,-4.25,1.00,2.00
3.00,90.00,0.25,-4.50,1.00,0.00
3.00,90.00,0.25,-4.50,1.00,1.00
3.00,90.00,0.25,-4.50,1.00,2.00
3.00,90.00,0.25,-4.75,1.00,0.00
3.00,90.00,0.25,-4.75,1.00,1.00
3.00,90.00,0.25,-4.75,1.00,2.00
3.00,90.00,0.25,-5.00,1.00,0.00
3.00,90.00,0.25,-5.00,1.00,1.00
3.00,90.00,0.25,-5.00,1.00,2.00
3.00,90.00,0.25,-5.25,1.00,0.00
3.00,90.00,0.25,-5.25,1.00,1.00
3.00,90.00,0.25,-5.25,1.00,2.00
3.00,90.00,0.25,-5.50,1.00,0.00
3.00,90.00,0.25,-5.50,1.00,1.00
3.00,90.00,0.25,-5.50,1.00,2.00
3.00,90.00,0.25,-5.75,1.00,0.00
3.00,90.00,0.25,-5.75,1.00,1.00
3.00,90.00,0.25,-5.75,1.00,2.00
3.00,90.00,0.25,-6.00,1.00,0.00
3.00,90.00,0.25,-6.00,1.00,1.00
3.00,90.00,0.25,-6.00,1.00,2.00
3.00,90.00,0.25,-6.25,1.00,0.00
3.00,90.00,0.25,-6.25,1.00,1.00
3.00,90.00,0.25,-6.25,1.00,2.00
3.00,90.00,0.25,-6.50,1.00,0.00
3.00,90.00,0.25,-6.50,1.00,1.00
3.00,90.00,0.25,-6.50,1.00,2.00
3.00,90.00,0.25,-6.75,1.00,0.00
3.00,90.00,0.25,-6.75,1.00,1.00
3.00,90.00,0.25,-6.75,1.00,2.00
3.00,90.00,0.25,-7.00,1.00,0.00
