obs,actions,next_obs,dones
0.06306909;0.06963368;-0.0538054;-1.0,0.19125961;-0.19102865,0.06106909;0.07135488;-0.07112591;-1.0,False
0.06106909;0.07135488;-0.07112591;-1.0,0.1982732;-0.49441558,0.059069093;0.07316334;-0.088446416;-1.0,False
0.059069093;0.07316334;-0.088446416;-1.0,-0.02153229;-0.2956114,0.057069093;0.075065844;-0.10576692;-1.0,False
0.057069093;0.075065844;-0.10576692;-1.0,-0.1695428;0.5907251,0.055069093;0.07706994;-0.12308743;-1.0,False
0.055069093;0.07706994;-0.12308743;-1.0,-0.1307226;-0.04763917,0.053069096;0.07918398;-0.14040793;-1.0,False
0.053069096;0.07918398;-0.14040793;-1.0,0.053725354;-0.04501742,0.051069096;0.08141726;-0.15772845;-1.0,False
0.051069096;0.08141726;-0.15772845;-1.0,0.16439769;0.7760152,0.049069095;0.083780184;-0.17504896;-1.0,False
0.049069095;0.083780184;-0.17504896;-1.0,-0.2083673;-0.7578175,0.0470691;0.086284354;-0.19236946;-1.0,False
0.0470691;0.086284354;-0.19236946;-1.0,0.69211733;-0.95,0.0470691;0.086284354;-0.19236946;-1.0,True
0.09985452;0.048233926;0.26476595;-1.0,0.16250873;-0.27100897,0.097854525;0.04905355;0.24744543;-1.0,False
0.097854525;0.04905355;0.24744543;-1.0,-0.08659543;-0.05804133,0.09585453;0.049901508;0.23012492;-1.0,False
0.09585453;0.049901508;0.23012492;-1.0,-0.09575789;0.62747824,0.093854524;0.050779298;0.21280442;-1.0,False
0.093854524;0.050779298;0.21280442;-1.0,0.11553487;0.55425465,0.09185453;0.051688522;0.19548391;-1.0,False
0.09185453;0.051688522;0.19548391;-1.0,-0.171326;0.7775218,0.08985453;0.0526309;0.17816341;-1.0,False
0.08985453;0.0526309;0.17816341;-1.0,0.07084543;0.711161,0.08785453;0.053608283;0.1608429;-1.0,False
0.08785453;0.053608283;0.1608429;-1.0,0.13948032;-0.5364211,0.08585453;0.05462265;0.14352238;-1.0,False
0.08585453;0.05462265;0.14352238;-1.0,-0.20722763;-0.39212143,0.083854534;0.055676144;0.12620188;-1.0,False
0.083854534;0.055676144;0.12620188;-1.0,-0.10874536;-0.1967618,0.08185453;0.056771077;0.10888137;-1.0,False
0.08185453;0.056771077;0.10888137;-1.0,0.06610868;-0.14766008,0.07985453;0.05790994;0.09156086;-1.0,False
0.07985453;0.05790994;0.09156086;-1.0,0.19841263;0.65292746,0.07785454;0.059095427;0.07424036;-1.0,False
0.07785454;0.059095427;0.07424036;-1.0,-0.17406867;-0.6320187,0.07585453;0.06033047;0.056919847;-1.0,False
0.07585453;0.06033047;0.056919847;-1.0,0.07130231;0.20851582,0.073854536;0.06161823;0.03959934;-1.0,False
0.073854536;0.06161823;0.03959934;-1.0,0.038618963;-0.17747043,0.07185454;0.062962174;0.02227883;-1.0,False
0.07185454;0.062962174;0.02227883;-1.0,-0.004890765;0.82779884,0.069854535;0.06436604;0.0049583227;-1.0,False
0.069854535;0.06436604;0.0049583227;-1.0,-0.16627139;0.27650663,0.06785454;0.06583395;-0.012362185;-1.0,False
0.06785454;0.06583395;-0.012362185;-1.0,0.038312804;-0.95806855,0.06585454;0.06737036;-0.029682694;-1.0,False
0.06585454;0.06737036;-0.029682694;-1.0,-0.05217566;-0.79242986,0.06385454;0.06898021;-0.047003202;-1.0,False
0.06385454;0.06898021;-0.047003202;-1.0,-0.09583789;-0.344418,0.06185454;0.07066887;-0.06432371;-1.0,False
0.06185454;0.07066887;-0.06432371;-1.0,-0.1589747;-0.4135801,0.05985454;0.072442286;-0.081644215;-1.0,False
0.05985454;0.072442286;-0.081644215;-1.0,-0.2448791;0.36377043,0.057854544;0.074307;-0.09896473;-1.0,False
0.057854544;0.074307;-0.09896473;-1.0,-0.099148795;0.92461187,0.055854544;0.07627025;-0.116285235;-1.0,False
0.055854544;0.07627025;-0.116285235;-1.0,-0.053135347;-0.5321781,0.053854544;0.07834006;-0.13360575;-1.0,False
0.053854544;0.07834006;-0.13360575;-1.0,-0.21067637;-0.9624484,0.051854547;0.08052534;-0.15092625;-1.0,False
0.051854547;0.08052534;-0.15092625;-1.0,0.18417773;-0.5687446,0.049854547;0.08283603;-0.16824676;-1.0,False
0.049854547;0.08283603;-0.16824676;-1.0,0.020410763;-0.88266426,0.047854546;0.08528326;-0.18556726;-1.0,False
0.047854546;0.08528326;-0.18556726;-1.0,-0.12065427;0.11956808,0.04585455;0.08787948;-0.20288777;-1.0,False
0.04585455;0.08787948;-0.20288777;-1.0,0.5881588;-0.85,0.04585455;0.08787948;-0.20288777;-1.0,True
0.10079691;0.047857147;0.27292725;-1.0,0.1648193;-0.5256271,0.09879691;0.048663907;0.25560674;-1.0,False
0.09879691;0.048663907;0.25560674;-1.0,0.15353715;-0.8388899,0.096796915;0.04949833;0.23828624;-1.0,False
0.096796915;0.04949833;0.23828624;-1.0,-0.24906304;0.85590446,0.09479691;0.050361875;0.22096573;-1.0,False
0.09479691;0.050361875;0.22096573;-1.0,-0.20568438;-0.6537565,0.092796914;0.05125608;0.20364523;-1.0,False
0.092796914;0.05125608;0.20364523;-1.0,0.11980361;-0.25993073,0.09079692;0.052182615;0.18632472;-1.0,False
0.09079692;0.052182615;0.18632472;-1.0,-0.15982586;-0.98568845,0.08879691;0.053143263;0.1690042;-1.0,False
0.08879691;0.053143263;0.1690042;-1.0,-0.18068005;-0.43693,0.08679692;0.054139946;0.1516837;-1.0,False
0.08679692;0.054139946;0.1516837;-1.0,0.08900079;-0.7945759,0.08479692;0.055174727;0.13436319;-1.0,False
0.08479692;0.055174727;0.13436319;-1.0,-0.22392154;0.05725317,0.08279692;0.056249835;0.11704268;-1.0,False
0.08279692;0.056249835;0.11704268;-1.0,-0.18114695;-0.63528943,0.08079692;0.057367675;0.09972218;-1.0,False
0.08079692;0.057367675;0.09972218;-1.0,0.069098756;-0.8177288,0.07879692;0.058530845;0.08240167;-1.0,False
0.07879692;0.058530845;0.08240167;-1.0,0.11788338;-0.83211064,0.07679692;0.059742156;0.06508116;-1.0,False
0.07679692;0.059742156;0.06508116;-1.0,-0.09153416;-0.40875524,0.07479692;0.061004665;0.04776065;-1.0,False
0.07479692;0.061004665;0.04776065;-1.0,-0.06427561;-0.96948135,0.072796926;0.062321685;0.030440144;-1.0,False
0.072796926;0.062321685;0.030440144;-1.0,-0.15832436;0.2700572,0.07079692;0.06369683;0.013119636;-1.0,False
0.07079692;0.06369683;0.013119636;-1.0,-0.07583226;0.46439236,0.068796925;0.065134026;-0.0042008725;-1.0,False
0.068796925;0.065134026;-0.0042008725;-1.0,-0.12262713;0.3100382,0.06679693;0.066637576;-0.02152138;-1.0,False
0.06679693;0.066637576;-0.02152138;-1.0,-0.106192976;0.92875946,0.064796925;0.06821218;-0.03884189;-1.0,False
0.064796925;0.06821218;-0.03884189;-1.0,-0.2298669;-0.3404226,0.06279693;0.069863;-0.0561624;-1.0,False
0.06279693;0.069863;-0.0561624;-1.0,0.18140501;0.32465056,0.060796928;0.071595706;-0.07348291;-1.0,False
0.060796928;0.071595706;-0.07348291;-1.0,-0.08499593;-0.1063802,0.05879693;0.073416546;-0.090803415;-1.0,False
0.05879693;0.073416546;-0.090803415;-1.0,0.0453096;0.45953012,0.05679693;0.07533242;-0.10812392;-1.0,False
0.05679693;0.07533242;-0.10812392;-1.0,0.18012965;-0.8537252,0.05479693;0.07735096;-0.12544443;-1.0,False
0.05479693;0.07735096;-0.12544443;-1.0,-0.090990864;0.4321005,0.052796934;0.079480655;-0.14276494;-1.0,False
0.052796934;0.079480655;-0.14276494;-1.0,-0.010699275;0.8823412,0.050796933;0.08173095;-0.16008544;-1.0,False
0.050796933;0.08173095;-0.16008544;-1.0,0.13454887;-0.041712757,0.048796933;0.084112376;-0.17740595;-1.0,False
