obs,actions,next_obs,rewards,dones
0.049871154;0.0828163;-0.16810293;-1.0,1.0;-1.0,0.049871154;0.0828163;-0.16810293;-1.0,0.853714834003753,1
0.101339184;0.04764299;0.27762347;-1.0,-0.006530023;-0.66224855,0.09933919;0.048442487;0.26030296;-1.0,0.0,0
0.09933919;0.048442487;0.26030296;-1.0,-0.11083187;-0.18527097,0.09733918;0.049269274;0.24298246;-1.0,0.0,0
0.09733918;0.049269274;0.24298246;-1.0,0.02809484;-0.62063724,0.09533919;0.050124772;0.22566195;-1.0,0.0,0
0.09533919;0.050124772;0.22566195;-1.0,-0.0038278499;-0.10524749,0.09333919;0.051010504;0.20834145;-1.0,0.0,0
0.09333919;0.051010504;0.20834145;-1.0,-0.12222977;0.2640166,0.091339186;0.051928103;0.19102094;-1.0,0.0,0
0.091339186;0.051928103;0.19102094;-1.0,0.18013375;-0.4827905,0.08933919;0.05287932;0.17370042;-1.0,0.0,0
0.08933919;0.05287932;0.17370042;-1.0,0.022508768;-0.02700913,0.08733919;0.053866033;0.15637992;-1.0,0.0,0
0.08733919;0.053866033;0.15637992;-1.0,-0.09064319;0.20480873,0.08533919;0.05489027;0.13905941;-1.0,0.0,0
0.08533919;0.05489027;0.13905941;-1.0,-0.06694025;-0.58511394,0.08333919;0.055954218;0.1217389;-1.0,0.0,0
0.08333919;0.055954218;0.1217389;-1.0,-0.13148367;-0.7274792,0.081339195;0.057060223;0.1044184;-1.0,0.0,0
0.081339195;0.057060223;0.1044184;-1.0,0.15857367;0.068976395,0.07933919;0.05821083;0.08709788;-1.0,0.0,0
0.07933919;0.05821083;0.08709788;-1.0,0.18609028;0.6229097,0.077339195;0.0594088;0.06977738;-1.0,0.0,0
0.077339195;0.0594088;0.06977738;-1.0,0.11454749;-0.9928021,0.0753392;0.06065711;0.05245687;-1.0,0.0,0
0.0753392;0.06065711;0.05245687;-1.0,0.09735626;-0.9652402,0.073339194;0.06195901;0.03513636;-1.0,0.0,0
0.073339194;0.06195901;0.03513636;-1.0,-0.23380838;0.59417355,0.0713392;0.063318014;0.017815854;-1.0,0.0,0
0.0713392;0.063318014;0.017815854;-1.0,-0.081328854;0.051954884,0.0693392;0.06473798;0.0004953463;-1.0,0.0,0
0.0693392;0.06473798;0.0004953463;-1.0,0.11482182;0.14541519,0.0673392;0.06622309;-0.016825162;-1.0,0.0,0
0.0673392;0.06622309;-0.016825162;-1.0,0.18418372;-0.30285552,0.0653392;0.06777794;-0.03414567;-1.0,0.0,0
0.0653392;0.06777794;-0.03414567;-1.0,0.081699684;0.6296589,0.0633392;0.06940756;-0.05146618;-1.0,0.0,0
0.0633392;0.06940756;-0.05146618;-1.0,0.07629558;0.7549727,0.061339203;0.07111747;-0.06878669;-1.0,0.0,0
0.061339203;0.07111747;-0.06878669;-1.0,-0.17190029;-0.56716615,0.059339203;0.07291376;-0.086107194;-1.0,0.0,0
0.059339203;0.07291376;-0.086107194;-1.0,-0.23782694;0.33671114,0.057339203;0.074803144;-0.1034277;-1.0,0.0,0
0.057339203;0.074803144;-0.1034277;-1.0,0.036498725;0.06311784,0.055339206;0.07679305;-0.12074821;-1.0,0.0,0
0.055339206;0.07679305;-0.12074821;-1.0,-0.056956336;-0.42251274,0.053339206;0.07889172;-0.13806872;-1.0,0.0,0
0.053339206;0.07889172;-0.13806872;-1.0,-0.075731866;-0.67062944,0.051339205;0.08110832;-0.15538922;-1.0,0.0,0
0.051339205;0.08110832;-0.15538922;-1.0,0.167646;0.75981563,0.04933921;0.08345308;-0.17270973;-1.0,0.0,0
