vel_d,phi_d,trial_num,LR_4Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
2.3,30.0,0,0.7222,0.2225,-8.8542,0.2297,-8.0304,1.0226,2.0442,0.0022,0.4649,0.0131,0.2173,0.0392,0.0258,[1.687 6.36 ],[0.277 0.889]
2.3,33.75,0,0.8333,0.2258,-7.5691,0.2593,-7.6839,1.1471,1.9719,0.0032,0.3545,0.0101,0.28,0.039,0.028,[1.894 4.475],[0.107 0.94 ]
2.3,37.5,0,1.0,0.224,-6.4906,0.2867,-7.7471,1.2739,1.8724,0.0035,0.2272,0.0094,0.2395,0.0404,0.0245,[1.526 5.457],[0.137 1.079]
2.3,41.25,0,1.0,0.224,-5.6373,0.3121,-7.5981,1.3884,1.7719,0.0024,0.1331,0.0068,0.1926,0.0259,0.0189,[1.617 3.515],[0.717 0.821]
2.3,45.0,0,1.0,0.2246,-4.7789,0.3472,-7.2639,1.5329,1.6789,0.003,0.2445,0.0156,0.2363,0.057,0.0177,[1.941 7.452],[0.115 4.409]
2.3,48.75,0,1.0,0.222,-4.3192,0.3574,-7.2494,1.6043,1.5559,0.0023,0.1331,0.0108,0.1949,0.0356,0.0221,[2.018 4.296],[0.092 0.151]
2.3,52.5,0,1.0,0.2238,-3.7086,0.3854,-6.8652,1.7119,1.4472,0.0023,0.1371,0.0136,0.2369,0.0417,0.0197,[1.585 9.084],[0.096 0.707]
2.3,56.25,0,1.0,0.2281,-3.1102,0.4158,-6.1019,1.8153,1.3064,0.0034,0.1599,0.0197,0.4544,0.0555,0.0184,[3.234 4.844],[2.085 0.771]
2.3,60.0,0,1.0,0.2324,-2.6323,0.4424,-5.4041,1.8975,1.1797,0.0039,0.0985,0.0147,0.497,0.0414,0.0162,[1.643 6.773],[0.429 1.109]
2.3,63.75,0,0.9444,0.2317,-2.2395,0.4604,-5.7543,1.9776,1.0501,0.0026,0.0963,0.0166,0.2865,0.0553,0.0141,[2.361 3.438],[0.502 1.392]
2.3,67.5,0,0.7778,0.2316,-1.9053,0.4674,-5.9124,2.0132,0.9039,0.0014,0.0444,0.01,0.1945,0.0352,0.0146,[1.336 4.02 ],[0.629 1.037]
2.3,71.25,0,0.0,,,,,,,,,,,,,[0.609 3.583],[0.188 0.854]
2.3,75.0,0,0.0,,,,,,,,,,,,,[1.604 5.616],[0.079 0.493]
2.3,78.75,0,0.0,,,,,,,,,,,,,[1.865 5.467],[0.113 2.197]
2.3,82.5,0,0.0,,,,,,,,,,,,,[1.3   3.305],[0.504 0.196]
2.3,86.25,0,0.0,,,,,,,,,,,,,[1.906 7.552],[0.13  1.406]
2.3,90.0,0,0.0,,,,,,,,,,,,,[2.137 7.868],[0.212 1.659]
2.4,30.0,0,0.9444,0.2232,-8.8672,0.2387,-7.9012,1.0617,2.1278,0.0028,0.4477,0.0124,0.2854,0.0393,0.0349,[1.866 2.55 ],[0.473 0.455]
2.4,33.75,0,1.0,0.2254,-7.2789,0.2793,-7.6258,1.2243,2.0468,0.0022,0.4449,0.0172,0.2113,0.0582,0.0281,[1.244 2.657],[0.564 0.902]
2.4,37.5,0,1.0,0.2232,-6.457,0.3003,-7.7584,1.3362,1.9537,0.003,0.2323,0.0111,0.261,0.0324,0.0228,[2.439 6.127],[0.242 1.181]
2.4,41.25,0,1.0,0.2245,-5.3837,0.34,-7.4461,1.4963,1.849,0.0027,0.3098,0.0191,0.2663,0.0685,0.0243,[1.363 4.834],[0.262 2.247]
2.4,45.0,0,1.0,0.2244,-4.8493,0.3558,-7.2999,1.5786,1.7384,0.0025,0.1541,0.0113,0.2195,0.0386,0.0226,[1.835 4.587],[0.143 0.912]
2.4,48.75,0,1.0,0.2233,-4.2036,0.3827,-7.1952,1.7038,1.6262,0.0018,0.1206,0.0105,0.1546,0.0368,0.0267,[1.53  3.732],[0.357 1.244]
2.4,52.5,0,1.0,0.2252,-3.6556,0.4078,-6.7609,1.8004,1.5065,0.0042,0.2178,0.023,0.5972,0.0601,0.0216,[1.879 4.469],[0.117 2.703]
2.4,56.25,0,1.0,0.2307,-3.0548,0.4425,-5.8733,1.9036,1.3771,0.0033,0.13,0.0177,0.5223,0.0458,0.0211,[2.083 2.321],[0.123 1.411]
2.4,60.0,0,1.0,0.2334,-2.619,0.4634,-5.5069,1.9781,1.2313,0.0034,0.1005,0.0154,0.5118,0.0478,0.0169,[1.226 7.535],[0.2   0.067]
2.4,63.75,0,0.7778,0.235,-2.2156,0.4851,-5.5881,2.0543,1.0978,0.0025,0.0727,0.0147,0.2839,0.0411,0.0221,[1.385 7.133],[0.089 1.174]
2.4,67.5,0,0.7222,0.2325,-1.8744,0.4954,-6.2562,2.1249,0.9442,0.0019,0.0459,0.0095,0.2774,0.0349,0.0166,[1.976 2.088],[0.222 0.725]
2.4,71.25,0,0.0,,,,,,,,,,,,,[1.983 3.323],[0.258 1.083]
2.4,75.0,0,0.0,,,,,,,,,,,,,[2.025 7.493],[0.604 0.488]
2.4,78.75,0,0.0,,,,,,,,,,,,,[1.305 3.878],[0.107 1.77 ]
2.4,82.5,0,0.0,,,,,,,,,,,,,[1.609 3.866],[0.202 2.069]
2.4,86.25,0,0.0,,,,,,,,,,,,,[2.08  2.565],[0.17  1.533]
2.4,90.0,0,0.0,,,,,,,,,,,,,[1.316 2.957],[0.764 1.384]
2.5,30.0,0,0.8333,0.2229,-8.6774,0.2554,-7.8585,1.1369,2.2236,0.0036,0.6652,0.0178,0.3338,0.0554,0.0348,[0.977 6.404],[0.525 0.543]
2.5,33.75,0,0.8889,0.225,-7.3626,0.2888,-7.5782,1.2736,2.1404,0.0025,0.3337,0.0119,0.2538,0.0425,0.0424,[2.892 7.084],[0.764 1.005]
2.5,37.5,0,0.9444,0.2238,-6.4818,0.3116,-7.6689,1.3877,2.0324,0.0025,0.2136,0.0104,0.2427,0.0302,0.0261,[1.627 4.556],[0.837 0.411]
2.5,41.25,0,1.0,0.2235,-5.5317,0.3452,-7.53,1.5315,1.9245,0.0031,0.2931,0.019,0.3337,0.0537,0.0277,[2.506 4.822],[0.265 1.41 ]
2.5,45.0,0,1.0,0.2256,-4.7218,0.3808,-7.1725,1.6706,1.8206,0.0025,0.2416,0.0181,0.2693,0.0565,0.0221,[1.945 5.313],[0.322 0.341]
2.5,48.75,0,1.0,0.2257,-4.1591,0.4037,-6.9956,1.7751,1.7022,0.003,0.1001,0.0099,0.3289,0.0213,0.0258,[1.627 6.042],[0.328 0.603]
2.5,52.5,0,1.0,0.2291,-3.5932,0.4314,-6.3383,1.8703,1.5724,0.004,0.1347,0.015,0.5498,0.0319,0.0182,[1.906 7.111],[0.728 0.637]
2.5,56.25,0,1.0,0.2323,-3.0586,0.4595,-5.6969,1.9687,1.4247,0.005,0.1079,0.016,0.7334,0.0255,0.0155,[1.804 5.514],[0.127 1.563]
2.5,60.0,0,1.0,0.2338,-2.6117,0.4847,-5.7357,2.0634,1.2865,0.003,0.0656,0.0109,0.4705,0.0263,0.0173,[2.021 5.626],[0.567 0.67 ]
2.5,63.75,0,0.9444,0.2349,-2.2209,0.5014,-5.8535,2.1317,1.1212,0.0045,0.0681,0.0148,0.5488,0.0299,0.018,[1.822 6.407],[0.283 0.479]
2.5,67.5,0,0.7778,0.2348,-1.847,0.5227,-6.3064,2.2196,0.9789,0.0038,0.0747,0.0195,0.3496,0.0495,0.0141,[1.356 7.76 ],[0.206 0.669]
2.5,71.25,0,0.0,,,,,,,,,,,,,[1.169 4.917],[0.278 0.29 ]
