t,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
5.057,0.002480725304688807,0.016565643140579737,0.7535131522185116,0.9940802539138041,-0.10745961900987659,0.015298458656749338,-0.004778726153159368,0.04895487537595264,0.2641639297039437,2.757266412697193,-0.643417645329152,0.16386257897041295,0.06642245670528553
5.061,0.002681932499892461,0.017648461497543184,0.7645591050812586,0.9940116522202075,-0.10811443356080176,0.015168771629795607,-0.004691787881312172,0.05113079182748186,0.27464309206337023,2.7640926771460363,-0.12120748639515641,-0.19432142153311804,0.04912848817125222
5.066,0.0029446578693667915,0.019061770780044715,0.7784182632672657,0.9940253491981915,-0.10808405472688547,0.01446121848428551,-0.004723920528448709,0.05322777165667734,0.2877114447229091,2.776629637086235,-0.11847779406975713,-0.14945926294495826,-0.04177506897331879
5.07,0.0031603887644305363,0.02023535381116843,0.7895329672897524,0.9939888808147835,-0.10840012273932792,0.014565271395387248,-0.004834364058648023,0.05431918313466956,0.2961462542640136,2.7768661787527695,-0.1350031731352881,0.08961267173959195,-0.013821530794514368
5.074,0.003379889103587635,0.021436442937892534,0.8006185841754139,0.9939736071076628,-0.10853883615429612,0.014619348784936146,-0.004697239695524805,0.05534446512653967,0.3031734626389062,2.7696573765150756,0.02154241241601097,-0.10343702989445668,0.09521078382160254
5.08,0.003718759447071482,0.023308923402475465,0.81726799282308,0.9940900695802115,-0.10763766709946379,0.013348748090811182,-0.004569147382513103,0.0570220390895009,0.3178558033116864,2.7761480609870373,0.4866905181809335,-0.5150454324386498,0.034319050243569175
5.085,0.004005327599217684,0.024933333640897757,0.8311607690342662,0.9942423953985121,-0.10626659578634877,0.012914984380494019,-0.004761616391640875,0.057623046210824355,0.329894707475042,2.780540822242201,0.8245211935657917,0.01777778112290835,-0.0898923087219955
5.089,0.004238374421491869,0.026269834488390438,0.8422677156199615,0.9944137787925792,-0.10467040527706359,0.012773823547060222,-0.004708740658298734,0.05873597829720956,0.3370079159993955,2.7765464807362448,0.6644730009789247,-0.1555170258537597,0.08936371683257327
5.094,0.004538371821247651,0.02799297530131934,0.8561828335210774,0.9945850480792385,-0.1031539154805863,0.011825014312816552,-0.0044744714486435,0.060846071507395474,0.34954229266141124,2.7862054448975937,0.7455382192006461,-0.5316488753432296,0.11451481116198653
5.099,0.004846284219986591,0.029764982340399697,0.8700846253822714,0.9948002349674561,-0.10120367892160964,0.010473998683131957,-0.004539078431986661,0.06206965073487126,0.3579749580360785,2.7776161606761884,0.8624854769677938,-0.520566845766193,-0.0016094378665542717
5.104,0.005159587777872821,0.03159079336601356,0.8839997036696515,0.9950541115202738,-0.09872709735497184,0.009960067811491693,-0.004590473140217567,0.06298977156329708,0.36996227046973496,2.786613912693807,1.122907140378132,0.055942452218634364,-0.02805487020830508
5.109,0.005479391286476552,0.03346602491200109,0.8979090790712667,0.9954150341309642,-0.09507527347869847,0.009448990564491569,-0.0045076353350886654,0.0646683022653833,0.37856419986004136,2.780566066547447,1.5682682956091523,-0.5572871949914407,0.12764714687504916
5.114,0.005803998269478453,0.0353907628397352,0.9118334415793371,0.9958227313938725,-0.09077662507931827,0.008743451923635586,-0.0044993362750138585,0.06507125090752627,0.388268635190587,2.7832740685725628,1.8563477080312007,-0.09851763402657363,-0.08959125827134115
5.119,0.0061333991435906345,0.037362129722852695,0.9257849318895244,0.9961769990320699,-0.08687125203841146,0.008015224460869927,-0.004530821733414941,0.06634192259484603,0.3979897020167605,2.7941012885787853,1.2113885645154001,-0.47975840784578083,0.07772202946261436
5.124,0.006466438523374977,0.039381355959226726,0.9397660621550218,0.9964912635501205,-0.0832929948821136,0.006911202257049039,-0.004435533250302638,0.06669137624646163,0.40688173315120113,2.792716232352333,1.706738376128709,-0.3797219944438998,0.049571540051623765
5.128,0.006734511192397132,0.04102564921345055,0.9509362606449654,0.9967859845843214,-0.07975290662132091,0.006099298979796952,-0.004469158049489631,0.06733933329058356,0.4137737811121268,2.7935121099624105,1.787834297699634,-0.540243484059096,-0.012415952778586556
5.134,0.007140912736300218,0.04354957492646191,0.967735094864534,0.9972625411488467,-0.07367306913916143,0.004355617182822456,-0.004553186128181352,0.06768621189084177,0.4244328004383632,2.7988600902315217,2.1304322251512127,-0.3305786630661763,-0.026347024725266784
5.146,0.007965330974897463,0.04875810645067806,1.0013727664487673,0.9981967149335274,-0.059770163743948265,0.002940462879059279,-0.004711634535170931,0.06977992862840121,0.440333490969591,2.798529374854938,2.6251788377206284,-0.48304999576319346,-0.010651514232865181
5.151,0.008316737090646795,0.05097077032958751,1.0153375794289323,0.9985340977699331,-0.05391291780916802,0.0008073294787942256,-0.004732980371890026,0.07057247247997266,0.44393694306182346,2.789219691761158,2.095654910120797,-1.1552354535591447,0.06928452622853162
5.158,0.008811766024556352,0.0541002361989142,1.0348090382206283,0.9988364711369372,-0.04760438759152477,-0.006235871217635924,-0.004543139762685851,0.07041144133666208,0.44971292246289957,2.7759235948132615,1.784560405342821,-2.636894346755795,0.22263289919970183
5.163,0.009158546648909303,0.05636406720612966,1.0486600502560837,0.9990102545145666,-0.04206156788124084,-0.01382308888540009,-0.004272949306850014,0.06853454380503952,0.4547820460985626,2.766398576538966,2.5431728900250823,-3.288143798680014,0.29735536972077675
5.168,0.009494312921752124,0.05864937502970223,1.0624638314868011,0.9991030169698977,-0.035225098906622274,-0.023175204459920228,-0.003906889671839959,0.06623141681648195,0.45820590918799914,2.7570184928577004,2.5902491429809564,-4.087613617745117,0.36310292683485074
