Control protocol: Standard PWM at 50Hz
Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
3.8448850000000094,1000,,,,0,0.005859375,-0.990234375,-0.0002719547540524807,,24.924001693725586,0.009765625,0,0,0.24339845404028893,0,0,0,0,0.10771676898002625,-0.4110066220164299,,0.060546875,0.029971219162539427,1,1,0,0,0,0,0,0,,
3.8530800000000163,1000,,,,0,0.0078125,-0.9921875,,-3.644656498129516,24.920001983642578,0,0,0,0,,0,,0,,,0.40322309359908104,0.060546875,0.02988054190474788,1,1,0,0,0,0,0,0,,
3.861210000000021,1000,,,,0,0.005859375,-0.990234375,-0.00011010223152813405,-2.33949123070197,24.916000366210938,0.01953125,0,0,0.4866406321525574,0,0,0,0,0.10771676898002625,-0.41206832975149155,0.40452461689710617,0.060546875,0.029854385597162594,1,1,0,0,0,0,0,0,,
3.8783300000000165,1000,,,,0,0.00390625,-0.98828125,-0.0007307465156592859,-1.6437143976189488,24.9220027923584,0.01953125,0,0,0.48675786703824997,0,0,0,0,0.1118239015340805,-0.41206832975149155,0.4052184522151947,0.060546875,0.029798335379713853,1,1,0,0,0,0,0,0,,
3.8858099999999975,1000,,,,0,0.00390625,-0.9921875,,,24.926002502441406,0.0146484375,0,0,0.36512698978185654,,0,,,,,,0.060546875,0.029762538863230603,1,1,0,0,0,0,0,0,,
3.8945200000000186,1000,,,,0,0.00390625,-1.05078125,-0.0006309558913224446,-1.6437143976189488,24.920001983642578,0.029296875,0,0,0.7300781831145287,0,0,0,0,0.1113303005695343,-0.4122336395084858,0.4052184522151947,0.0625,0.0297613181918253,1,1,0,0,0,0,0,0,,
3.905005000000034,1000,,,,0,0.005859375,-0.990234375,,,24.924001693725586,0.0341796875,0,0,0.8518945891410112,,0,,,,,,0.0625,0.029771931108677284,1,1,0,0,0,0,0,0,,
3.918625,1000,,,,0,0.0078125,-0.98828125,-0.00041094037219374505,-3.280424330475317,24.921335220336914,0.0065104165114462376,0,0,0.1622482723057681,0,0,0,0,0.10916264727711678,-0.41152816265821457,0.4035863094031811,0.0625,0.02964937438804945,1,1,0,0,0,0,0,0,,
3.9269100000000035,1000,,,,0,0.00390625,-1.029296875,-0.00041903429979758345,-5.185638745897281,24.921335220336914,0.0358072929084301,0,0,0.8923655499037793,0,0,0,0,0.10894844308495522,-0.41126273572444916,0.4016864113509655,0.0625,0.029665275301897137,1,1,0,0,0,0,0,0,,
3.9351050000000103,1000,,,,0,0.005859375,-1.01953125,,-5.185638745897281,24.924001693725586,0.009765625,0,0,0.24339845404028893,,0,,0,,,0.4016864113509655,0.0625,0.02961538720758607,1,1,0,0,0,0,0,0,,
3.943290000000008,1000,,,,0,0.0078125,-0.98828125,-0.00041903429979758345,,24.93000030517578,0.0341796875,0,0,0.8520996198058128,0,0,0,0,0.10894844308495522,-0.41126273572444916,,0.0625,0.029626951408547476,1,1,0,0,0,0,0,0,,
3.9510500000000173,1000,,,,0,0.005859375,-0.990234375,,-1.1907590096387273,24.918001174926758,0,0,0,0,,0,,0,,,0.4056701436638832,0.0625,0.02955337345685012,1,1,0,0,0,0,0,0,,
